question_id,topic,difficulty,skill,question,answer
133,Fractions & Decimals,easy,decimal to fraction,Convert 0.6 to a fraction in simplest form.,3/5
109,Fractions & Decimals,easy,adding fractions,Add: 1/3 + 2/3.,1
138,Fractions & Decimals,medium,decimal addition,Add 12.09 and 5.06.,17.15
10,Algebra,medium,linear equations in context,A club charges $22 plus $4 per visit. The total cost is $74. How many visits were made?,13 visits
181,Statistics & Probability,easy,mode,"Find the mode of this data set: [9, 7, 5, 10, 3, 1].",1
127,Fractions & Decimals,easy,decimal to fraction,Convert 0.75 to a fraction in simplest form.,3/4
220,Ratios & Percentages,easy,simplifying ratios,Simplify the ratio 5:6.,5:6
197,Statistics & Probability,medium,survey percentages,"In a survey of 40 students, 24 own a dog. What percentage of students own a dog?",60.0%
267,Ratios & Percentages,hard,tips,A restaurant bill is $49 before a 15% tip. What is the total after tip?,$56.35
145,Fractions & Decimals,medium,decimal addition,Add 4.49 and 0.82.,5.31
180,Statistics & Probability,hard,compound probability,Two dice are rolled. What is the probability that their sum is 7?,1/6
165,Statistics & Probability,easy,mean,"Find the mean of this data set: [23, 10, 14, 6, 19].",14.4
227,Ratios & Percentages,medium,discounts,An item costs $82 and is discounted 20%. What is the sale price?,$65.60
125,Fractions & Decimals,hard,fraction word problems,A recipe needs 6/5 cup of sugar. You make 1 of the recipe. How much sugar do you need?,6/5 cup
187,Statistics & Probability,easy,mode,"Find the mode of this data set: [9, 8, 4, 8, 2, 11].",8
303,Integers & Expressions,medium,order of operations,Evaluate: 4(2 + 7) ÷ 3.,12
297,Integers & Expressions,easy,absolute value,Evaluate: |-21|.,21
117,Fractions & Decimals,medium,multiplying fractions,Multiply: 1/4 × 21.,21/4
26,Algebra,easy,writing expressions,Write an algebraic expression for: seven more than the square of a number.,x^2 + 7
6,Algebra,easy,linear equations,Solve for x: 8x + 4 = 28.,3
314,Integers & Expressions,hard,simplifying expressions,Simplify: 6(p + 2) + 3(p - 4).,9p
273,Integers & Expressions,easy,integer addition,Evaluate: 11 + 5.,16
47,Algebra,hard,variables on both sides,Solve: 7x + 12 = 2x + 47.,7
83,Geometry,easy,triangle angles,A triangle has two angles measuring 79° and 37°. Find the third angle.,64°
94,Geometry,medium,area of circles,Estimate the area of a circle with radius 12 inches using π ≈ 3.14.,452.16 square inches
158,Fractions & Decimals,hard,ordering rational numbers,"Order from least to greatest: 0.77, 2/9, 0.9.","2/9, 0.77, 0.9"
210,Statistics & Probability,hard,outliers,"Identify the possible outlier in this data set and explain why: [19, 19, 30, 17, 75].",75; it is much larger than the other values
79,Geometry,easy,triangle angles,A triangle has two angles measuring 57° and 46°. Find the third angle.,77°
64,Geometry,medium,area of triangles,Find the area of a triangle with base 10 cm and height 5 cm.,25 square cm
320,Integers & Expressions,hard,simplifying expressions,Simplify: 2(4m - 5) - 3(m + 1).,5m - 13
91,Geometry,medium,area of circles,Estimate the area of a circle with radius 9 inches using π ≈ 3.14.,254.34 square inches
207,Statistics & Probability,hard,outliers,"Identify the possible outlier in this data set and explain why: [16, 17, 26, 34, 74].",74; it is much larger than the other values
250,Ratios & Percentages,medium,proportions,A recipe uses 1 cups of flour for 10 cookies. How many cups are needed for 24 cookies?,2.4 cups
176,Statistics & Probability,hard,compound probability,Two dice are rolled. What is the probability that their sum is 7?,1/6
301,Integers & Expressions,medium,order of operations,Evaluate: -8 ÷ 2.,-4
174,Statistics & Probability,medium,simple probability,"A spinner has 4 equal sections, and 2 sections are blue. What is the probability of landing on blue?",1/2
56,Geometry,easy,area of rectangles,Find the area of a rectangle with length 5 units and width 4 units.,20 square units
34,Algebra,medium,multi-step equations,Solve: 7(x + 8) - 5 = 107.,8
102,Geometry,hard,surface area,"A rectangular prism has length 7, width 5, and height 8. Find its surface area.",262 square units
166,Statistics & Probability,easy,mean,"Find the mean of this data set: [18, 20, 17, 24, 12].",18.2
178,Statistics & Probability,hard,compound probability,Two dice are rolled. What is the probability that their sum is 7?,1/6
